序號,班級,學號,姓名,GitHub,作業一,作業二,作業三,作業四,作業五,作業六,作業七,作業八,作業九,作業十
39,電資資安,111C71796,唻懑韁,5SvwUtajNN,6,4,10,5,7,7,3,8,5,1
40,電資AI,112598011,績幤巼,KdbehvyT8X,9,2,1,8,9,10,6,10,1,3
41,資工系,112C71478,刑嚝顦,JlbeBMimlN,7,6,6,3,4,2,8,10,8,1
42,電資資安,112590613,捥疄淩,YStrgTX1Mu,8,4,1,7,5,5,9,2,7,1
43,電資資安,112C71469,灟峿雗,W9iSHSGBUE,5,9,5,2,3,10,1,9,7,4
44,電資資安,112C53289,翴宰讱,sk1eUlUZ04,5,7,7,1,5,10,3,8,7,6
45,電資資安,112C52311,貘綈燗,5WxX2RIEt6,3,4,6,3,10,2,7,1,3,1
46,創新AI,112C71622,輊楞便,6WVX7RKZXV,9,8,6,4,6,10,10,2,4,6
47,創新AI,111590393,聟缢垬,FLgeVmFxx6,7,9,5,4,9,4,8,10,7,3
48,創新AI,111C53933,尩侭覉,Cps1n0ETHo,10,10,2,7,10,8,3,2,10,7
49,資工所,111598102,窰茟阴,kBn03UBshd,4,3,3,1,7,7,2,7,3,6
50,電資AI,111C53481,莕溉律,nOTBtJevOQ,3,5,2,5,3,6,3,5,10,1
51,資工系,111598122,鬛駄縲,t6Bx79rxSl,7,9,3,3,9,4,10,9,9,7
52,電資資安,111C53087,谄壁蛘,9Ik3NSVZmR,4,3,6,9,10,1,1,7,3,2
53,電資AI,111C71429,曐抁衕,pkCihVgk5C,9,5,1,7,9,1,10,5,3,7
54,資工所,112C53343,慭骖渚,9P8JouDieT,2,10,5,4,7,10,1,6,5,4
55,創新AI,112C71575,蠂竃剫,iAkSY8naKN,5,5,6,6,9,6,6,7,1,5
56,電資AI,112C53576,鐊唟琎,gNk9zdiLDw,5,6,8,1,7,2,3,2,2,1
57,資工所,112590699,榽菠鎐,ywu4P3qID1,7,7,2,4,5,10,9,6,6,10
58,電資AI,111C52834,帶馼鏘,9s3FdTXrtt,3,6,7,8,8,6,5,1,5,4
59,電資資安,111C52819,縜唛崣,488ycen60Y,3,4,10,9,10,10,10,4,7,5
60,創新AI,111C53549,廇頰獇,XIFowkVfmM,4,2,5,2,5,2,4,4,3,5
61,電資AI,112C53008,鎪栟影,n77JxOfHrj,5,7,4,9,7,7,5,5,6,8
62,電資AI,111C52710,馭邳賄,4mMPnNptEn,9,10,7,4,8,9,2,9,6,2
63,電資AI,112C53930,庩籅瀝,6xce2WlkN0,8,3,8,8,2,3,3,3,7,1
64,電資AI,111590278,鄠轮櫴,h4FajHkfle,9,6,6,10,1,1,7,1,10,4
65,資工系,111590220,鍳陯拼,qdmRK6DqhB,1,9,6,10,6,9,1,2,10,2
66,資工系,111C52404,澁徻庭,YvwxPC7oQs,8,8,6,3,6,4,8,4,5,2
67,電資資安,111C53421,瞣赫綄,z5JDElYt9K,6,3,3,9,6,2,4,9,6,9
68,資工所,112C71844,晞轏徊,5M6B4E0Qdl,9,1,8,2,5,9,5,1,4,1
69,資工所,112598248,珧唹過,KMaO0XfOwo,1,9,2,1,4,2,2,2,3,3
70,資工所,112590357,蘨村恑,ZeGeARZqqV,5,5,2,3,10,6,3,3,10,5
71,電資資安,111C71737,轙寸贙,epbL42RHdT,9,3,9,3,10,9,7,10,7,10
72,電資資安,111598579,腓鱥仑,sr7rICvTy5,7,4,2,3,1,7,8,5,2,8
73,資工系,112C52046,硏赗业,PA6MhrGpGl,2,9,6,1,10,8,6,5,1,9
74,創新AI,112598394,夂饠嵉,XVNyJAm2cX,2,9,2,7,1,7,5,4,6,1
75,電資AI,111C53667,懢绶芅,PWnLvgcRiy,4,7,2,8,1,6,6,1,9,9
76,電資資安,111C53724,棫韑靡,7W51Go7h36,1,7,6,2,1,4,4,4,6,4
77,電資資安,112590714,煫鮭詎,qWOSjllBJb,10,5,1,3,9,3,4,7,10,3
78,電資AI,111C53947,烣旉劶,vjATo3tuGJ,3,6,7,3,6,3,3,4,2,9
79,資工所,112C71811,嚵鯮繻,a7Innnmbmd,1,4,8,1,4,9,4,5,10,2
80,電資資安,111598468,瑻嘃芢,3CIhWKI4kk,8,1,10,6,3,4,6,10,3,5
81,資工所,112598955,嘁缓吀,LTlHWDeFaE,2,6,1,3,6,3,4,7,8,10
82,創新AI,111C71239,怢寥篩,68hvaWtNuf,5,8,4,7,8,1,4,1,2,10
83,資工所,112C71730,妝霂米,mVdmGcOo1q,10,10,3,4,8,3,3,10,5,4
84,資工所,112C71409,鵮踰荞,v8lxQY9cWp,3,8,1,5,7,2,2,3,2,2
85,創新AI,112C53923,隉棻儳,0tMvq4F2hd,6,3,9,5,3,7,2,5,5,7
86,資工所,111C52817,廂敹層,Eixr2X5g9s,5,2,3,6,10,2,2,4,5,1
87,資工所,112590594,歷嚮處,7EDPZk5rgh,10,1,10,7,8,8,8,9,9,4
88,創新AI,112C53033,絹鴭凍,76vEb4Ljo1,4,6,8,6,10,1,5,3,7,4
89,電資資安,111C52003,澜肃庢,Tn0tjBTMew,3,9,9,8,1,1,6,3,8,10
90,資工系,112590372,瘣蝊螀,Nh2IlIivu3,8,2,1,2,2,8,2,3,8,9
91,創新AI,111598302,湑烾扅,U3tcThpsUT,4,8,4,6,7,4,5,3,5,9
92,資工所,112598648,鬞澏因,GPChnxKcvf,7,1,5,1,5,6,5,1,10,9
93,資工所,111C52995,漡瘋昗,5P6wzFlW1D,1,7,5,1,5,9,4,3,10,10
94,電資AI,112C71597,赱满寿,js1h8wEUEI,6,5,6,4,3,8,5,7,7,1
95,創新AI,111C52826,陜蘴磬,2c2G1OrY3x,5,7,1,4,7,5,7,3,2,7
96,電資資安,112C53855,畊鵪棏,aRzPCjXZEu,1,1,9,6,3,1,5,1,2,9
97,資工所,111598354,篮萕蟍,QdXx7sZPrB,10,6,2,1,3,6,7,1,8,6
98,電資資安,111C71806,泊顆硙,1uE8Nqgq6F,9,10,10,9,7,4,6,5,8,1
99,電資資安,112C71113,殻尔珩,VtM5jzqElm,4,1,10,8,8,3,7,9,9,8
100,資工所,111598709,襏鐝厰,VSEkZsksUc,5,10,2,9,4,10,3,4,4,3
101,電資AI,112590560,繅覮窧,zKX9RMWbBv,8,2,7,4,3,2,3,1,5,4
102,資工系,111C53236,鏀镦坲,fQvACSFMfI,7,6,2,10,7,2,8,8,10,10
103,電資資安,111C52041,缍偖淿,gqHdsnE5oz,6,10,8,10,2,2,6,5,8,4
104,電資資安,112C71577,鳭鰲袘,RPEW5o0Qzy,4,3,2,7,10,4,10,4,8,7
105,電資資安,112C52633,嬌蛤骥,7Li1PdYClK,6,8,5,6,9,9,6,3,1,8
106,電資資安,111C52588,穡绪掤,8TUYwFznzG,7,9,8,7,4,4,4,4,2,6
107,資工系,112C71769,癛滶瓤,GXe8SLPEij,7,7,3,9,9,7,5,7,4,5
108,創新AI,112C52985,范栈鋥,AkrcQXOAHG,2,5,8,7,3,3,1,9,3,8
109,資工所,112598799,瑇挩砪,lLOkryIywi,9,8,2,3,5,4,8,9,9,8
110,資工所,112590902,忡怄簞,948iXWFtBR,3,6,6,6,7,10,9,8,6,2
111,電資AI,112C52711,鶌鵁郥,4jlpWUCKob,6,7,3,10,8,7,4,8,5,3
112,資工所,111C52678,訵燺挚,oFeqJFgQn8,3,7,2,2,1,4,6,8,1,2
113,資工所,111590345,釴咅灘,ih0JrQ0wPa,10,1,1,10,3,3,6,3,2,8
114,電資資安,111598293,筘炫嗥,F32HKyQA9t,8,4,8,3,6,8,9,1,4,5
115,資工系,111C53450,抑逛盖,ZsGxQe7J5W,10,3,5,3,3,7,1,3,8,7
116,電資資安,111C53713,鞑躧猎,CY31bexGG3,9,8,3,5,6,3,4,1,9,5
117,電資資安,111598098,甂螾蚯,eyNZmWO7wC,6,9,6,3,9,3,10,4,10,6
118,電資資安,111C53693,苼絲脻,2mXVgnlmWp,2,5,6,1,4,9,2,5,3,8
119,資工系,112C71312,薜軝帔,HyrFtZKwci,5,10,4,1,7,1,4,10,5,10
120,資工系,111C71046,獇测捞,CnqP18BSIP,6,3,4,1,10,8,9,8,7,3
121,創新AI,112598407,鼨袠衲,7TBxogqeEA,5,9,4,5,1,8,9,2,2,9
122,創新AI,111598395,邧鋓鈉,HhzzcindrY,1,7,10,2,9,6,3,2,8,3
123,創新AI,112598823,設锠稳,P8i9mYEXPF,6,1,3,8,3,4,3,1,1,9
124,資工系,112C52663,鳁錫朱,FMegbwU76P,6,4,8,1,5,1,5,10,1,1
125,電資資安,111598771,豖娑匟,MmAvxtGb7R,8,4,6,1,10,3,5,4,10,9
126,創新AI,112590655,遘撏遭,8AHG5OSlt9,9,3,9,3,2,6,5,10,4,8
127,資工所,112598660,俕霵墠,8PZQ26rFVl,1,1,3,9,7,9,9,6,2,3
128,電資AI,111C71253,憒櫠冊,CwrGFDQPcG,3,5,4,3,7,8,5,6,3,2
129,電資AI,111590738,恺湦匬,mjPKdAT6S7,4,4,4,8,10,1,1,9,10,1
130,資工系,111598118,簹莨塧,Ajmf2uHyqs,6,10,10,8,7,5,6,10,4,3
131,電資資安,112C52377,榜孼諌,f4yY4M9zOh,8,8,8,9,7,3,5,4,2,10
132,電資資安,111C52425,埴琝楰,RJeXO54yMy,2,1,7,2,7,6,5,9,2,8
133,資工所,111C52028,鑵稑蜃,dDGv3zHfhx,7,3,3,5,1,1,5,6,9,4
134,創新AI,111598051,胛狍漪,ddJYHNwcyr,3,1,3,4,1,8,3,6,4,1
135,電資AI,111C52446,姗摨塍,CXeS6CJu6K,1,1,5,4,8,6,7,9,10,2
136,電資AI,112598791,潎袲檕,O9WPdmSeom,8,8,2,9,8,5,5,8,5,1
137,電資資安,112598978,恡琖攏,uOUaVunXgf,9,7,8,9,10,1,6,3,7,6
138,資工所,111C53735,艄斋瓋,tbztzEuZUe,1,2,2,4,4,9,5,3,8,2
139,資工系,111C71071,秃呦萃,k83r9jkdfr,4,9,1,5,8,6,2,6,7,5
140,電資AI,112598480,劉癣剓,z1HFfp5UeD,2,7,9,3,10,7,3,7,6,1
141,資工所,112C71521,槰隳煈,mEqBP5MyCv,10,2,8,6,3,9,1,4,9,8
142,電資資安,112598393,菐罏磞,luKRNOvH2y,9,10,9,10,9,3,10,9,1,2
143,電資AI,111590974,僝薪螩,tcdBiYyh0c,3,3,8,10,10,4,4,3,3,8
144,資工所,112C71596,酃騔瀭,c0JnPShJEn,7,7,10,7,5,10,2,7,6,2
145,資工系,111598767,悂浄呾,PaPy2ihyKf,5,5,5,1,8,6,6,7,5,8
146,電資資安,111C52049,濘狌鶹,mzIWbilP19,2,9,5,7,1,7,5,4,4,10
147,資工所,112598403,銔簤堢,Wn44ZG66g7,5,8,5,4,8,1,2,7,5,9
148,創新AI,111590651,嵦瀄鱤,CLQBeikl10,1,3,5,5,10,7,9,2,4,7
149,創新AI,112C71508,敎眇娕,r7r5pEanp9,3,4,4,5,7,8,9,10,8,3
150,資工系,111C52655,暟臋摿,w8b5Hbm5UU,7,7,5,8,6,3,4,2,5,4
151,資工系,111C71163,揠偒魝,K1gd5LQNcx,8,7,7,3,6,5,5,8,8,10
152,資工系,112C52536,羘嬉坫,7VHikTNqm7,2,5,9,8,6,5,4,3,3,4
153,創新AI,111C52137,遻鵐蒸,pHYustgQ8n,1,2,5,8,2,4,8,1,9,5
154,資工系,111C52290,鸪臦凁,Sd5sGElbtU,6,1,5,9,8,4,2,10,4,7
155,創新AI,111C71812,帓賖我,oO7UKq38OL,5,9,3,7,4,6,5,10,1,7
156,電資AI,111590241,遑酶慧,KsrWl16aY8,1,6,2,9,6,2,3,10,4,6
157,資工系,112C52340,菪审伺,oLoY0I5OY6,7,2,1,8,7,3,7,2,6,7
158,電資資安,111590942,卥脃虊,g9qih69Q4k,7,8,8,10,8,3,3,6,8,4
159,資工系,111C71273,肉莙拯,Z5sDOM3tK0,10,10,4,8,3,5,6,9,1,5
160,資工系,111C71554,谚溌节,MGED7HH8LN,8,6,8,3,4,2,6,5,7,2
161,資工系,111C71317,緃愌蠂,CNAm33rcek,7,10,9,6,6,7,6,3,6,6
162,電資AI,111590199,妤媐戊,iyPwUshfNB,4,2,9,2,4,6,2,9,5,1
163,電資AI,112590318,爍筜舊,4yZaPC7OqP,2,1,4,1,2,5,9,1,8,7
164,電資資安,112590767,厫怏枣,Bj1K8c0u9w,9,10,1,1,4,1,8,8,10,8
165,資工所,112590067,蟌齉蔴,aEktUElcdc,2,8,8,1,6,3,2,7,8,4
166,創新AI,112C53946,槑雨柔,s3QGNIaluv,10,9,9,10,8,8,8,10,3,2
167,資工所,111590701,藧覍摜,munBiK0yws,6,2,3,1,7,6,10,4,5,7
168,資工所,111590069,悁捿锥,saeslKBvqV,6,4,1,10,5,2,8,8,8,2
169,電資資安,112C53639,碁趴駼,v4VHXfMZsG,7,9,7,1,3,4,10,4,6,2
170,創新AI,111598811,両瞪讫,SRNW4iEKvR,7,4,2,4,5,8,3,9,8,7
171,資工系,111C52190,产圤踕,VRjTZc7PPL,6,1,7,4,10,9,8,1,9,1
172,資工所,111C71518,舉俄诠,X33lZynyt3,5,4,5,2,4,2,3,1,10,8
173,創新AI,111598313,顟踦唵,rJAXWYblc6,6,6,4,8,6,9,2,6,9,7
174,電資資安,112C52852,礟蝖漾,73EhbMFkTR,4,3,1,2,9,5,6,7,6,3
175,資工所,112C71725,仵術皓,iznAF6blUT,6,3,1,2,3,1,7,7,10,9
176,電資資安,112C53902,疳斣霙,P8pCvglUUq,6,6,9,1,3,10,6,10,8,9
177,電資AI,112C71384,顤跟溳,LUloJGN7Vh,4,1,1,3,2,4,2,9,4,10
178,創新AI,111C71165,棖鋹疂,vgoTRW1I5N,5,7,6,5,5,7,1,5,9,4
179,電資資安,111590272,栜犹冗,Rd7cCV4kF8,4,1,7,4,2,4,7,5,4,2
180,資工系,111C71344,鋉鋯纵,Pb55gtURwp,2,4,8,2,8,4,5,5,4,10
181,資工系,111590393,煦袐檡,TlajBysEti,4,4,7,8,1,10,10,8,3,10
182,電資AI,111590197,熐飭惜,lZCaPVby0t,8,2,2,8,8,6,1,2,4,8
183,資工所,111C71750,稙鯞臦,HC9WFolrlK,5,8,7,9,10,3,6,9,7,1
184,資工所,111590065,烺俪藒,31uBqUnWM6,5,4,9,4,7,3,2,1,6,10
185,電資AI,112598155,妁鸎呢,in9SyNSlJn,1,3,6,4,5,5,7,6,5,1
186,創新AI,112C53622,琩使暌,xtnvDTIUH1,7,2,8,3,4,10,1,6,8,3
187,電資AI,112598326,陑九妧,n4RZWhuaCt,3,2,3,2,2,6,4,1,4,7
188,電資資安,112C71595,欭罴顊,9CiStHAa0S,4,7,9,2,8,8,7,2,10,3
189,資工系,112598170,炣袼胭,bD8Dc4UiwG,9,9,9,7,10,3,9,8,6,7
190,創新AI,112598240,依摰褍,wW2VAvWas9,2,9,3,7,4,1,6,5,7,10
191,電資AI,111C71967,舌冞娂,tZqQgUbhQZ,10,4,2,2,1,6,6,4,10,5
192,創新AI,112590827,軫兌琨,nV94uDOV1m,7,4,5,10,2,5,9,7,1,1
193,電資AI,111598031,汱焎愱,2qAwPdf8Kf,10,10,7,8,2,2,5,7,6,2
194,資工所,111598708,掘碗篍,OpWOgaKYpX,3,1,9,9,10,6,5,3,9,8
195,資工所,112C52767,倖庑貍,70GmBp4FFZ,3,3,2,5,5,3,6,6,4,6
196,電資AI,112C52031,貸酌淌,9VS7oXF9Vj,1,8,10,2,10,4,7,4,5,6
197,電資資安,112C71483,綞扡幪,LvwCJDQp6m,4,10,2,3,7,3,5,1,2,6
198,創新AI,111C52382,絕啮顊,uOmr1M0r7v,8,8,1,8,9,10,4,3,3,2
199,資工系,111590189,澣貈渕,zVBAUBtPvs,4,7,4,7,10,7,8,5,10,1
200,資工所,111598390,帎翵麮,hc7ejr50Xr,10,7,3,2,10,9,5,5,2,10
