序號,班級,學號,姓名,GitHub,作業一,作業二,作業三,作業四,作業五,作業六,作業七,作業八,作業九,作業十
88,資工系,112590140,炻咵脡,B1ruc782SJ,3,9,6,9,10,3,9,5,10,2
89,創新AI,112C53935,絑蹗僛,7FMn6ZvQKE,2,3,8,2,5,9,4,4,4,9
90,資工所,112C53730,梏碢冱,NV1aFNRGX0,5,1,7,5,6,3,1,2,6,9
91,電資資安,111C71613,鈞袾袪,BbYpEeg8Xd,4,5,10,8,8,9,7,3,9,7
92,資工所,112C52502,你爂溱,AJzxe659tF,2,7,10,6,10,8,7,8,5,7
93,資工所,111C52951,汧繩佝,zD0wDtGQ46,7,10,10,2,9,1,10,2,5,4
94,電資資安,112598760,聃蹛疵,No7aMtG12K,5,10,3,7,10,4,6,9,3,9
95,電資資安,112C52348,紇臽配,KNPRRRWdv8,6,7,6,6,2,5,8,10,4,6
96,創新AI,111C53766,澒跨浆,zMjWuKOFGS,7,10,2,9,7,9,3,10,8,8
97,資工所,111C52102,蘹姪蟅,wgS2FfBqz3,3,6,9,5,5,9,10,5,3,9
98,電資AI,111C53039,韢奷斠,pPGFjPTzyN,4,2,1,7,7,3,3,9,6,1
99,資工系,112C53830,爤狷鶏,ztsiimbV9t,1,4,1,10,5,10,10,6,8,6
100,創新AI,111590737,襃銸匕,dmEMyVdJeA,4,3,4,9,4,8,9,9,2,6
101,電資資安,111598369,卺吾嶐,vkUJAcTbPR,10,6,6,3,6,1,7,2,7,9
102,創新AI,112C53425,墹追媔,nGbWSNIk2V,3,2,10,4,4,1,4,7,6,8
103,創新AI,111C52047,脝窈矷,ykAAOUI96b,7,1,1,4,3,8,6,2,10,4
104,資工所,111590659,鋱樌穎,PB16hxzpYi,7,5,5,4,10,5,1,8,4,7
105,電資資安,112C52143,迯薦馿,sUBr0ftEig,2,7,7,4,4,7,4,10,10,2
106,資工所,112598662,啯焍毗,P6Whxx4mbG,1,8,7,6,6,3,2,8,1,8
107,電資資安,111598583,狹颌罛,sAKXls00iJ,10,2,4,5,6,7,7,4,3,9
108,資工所,112C53222,貙喰跌,JaM1CSWNLl,1,5,9,8,8,7,9,8,7,8
109,創新AI,111C71409,扤岫竄,GCXCZVr5DM,4,6,2,2,7,9,3,3,2,6
110,資工系,112C52458,禴帺稒,t6MuFLD2Sr,7,3,3,4,8,5,8,8,9,2
111,電資資安,112C53609,盍皴啉,6634zLsM6j,5,2,8,2,10,5,4,4,7,8
112,電資AI,112C52111,稤鏝傏,8s7b0UNLEz,3,6,8,3,4,4,4,8,2,10
113,資工系,112598013,本缙黪,Hfp8rCH3mJ,5,1,8,10,5,9,3,4,3,6
114,資工所,112598764,棣抶懞,LPxI6T6hYM,1,7,5,8,8,6,1,5,9,4
115,資工系,112C53729,謢鎑侼,CZZPdFjR6w,10,3,9,4,6,9,8,5,3,6
116,資工所,111C52483,捐倨頓,cOWhR0tyxW,2,10,2,3,1,7,3,3,1,7
117,電資資安,111590988,兵缬鏩,VKuWjGw0vk,4,5,7,7,7,1,8,4,2,6
118,電資AI,111590595,墲腏刅,pqaMLbEkIl,1,5,7,4,5,6,5,1,5,4
119,電資AI,112C52937,鄬媞毄,Sb5jSIqC8m,2,1,10,5,1,5,10,3,10,6
120,資工系,112C52555,忣闘烜,RkOlwO4lc8,8,5,3,5,1,7,10,10,8,8
121,電資AI,112598656,莶褡女,C8ES7eYeJi,6,8,6,10,10,3,4,1,8,6
122,資工系,112C53922,鄔觨挢,QF7HI1E6yc,3,4,1,2,1,6,4,8,9,10
123,資工所,111598741,笒捏政,DyNeFHwS0q,2,8,4,2,2,10,6,1,3,10
124,資工系,112598759,馃蘑鬐,ErIMI8LEUA,9,9,8,3,4,2,6,5,7,4
125,電資資安,111598775,猾舰談,uRFtbAYUZC,10,9,5,7,3,6,6,5,9,7
126,資工所,112C52712,劷孍愙,pMqWrjIPQC,1,10,5,4,6,3,10,2,1,8
127,資工系,111C71273,摭挔甔,9xnLIZZRM7,10,1,10,3,6,3,5,2,8,4
128,資工所,111C52067,檶韠穗,pA1q6UWNTa,2,6,2,9,8,8,7,7,2,9
129,電資資安,112C71230,褿旬絃,gPbiskSpsl,5,10,8,2,4,7,3,1,2,3
130,資工所,111C52882,蟍廏嘔,0L3fJ6LV77,6,5,10,1,7,8,10,7,8,7
131,資工系,112590756,舤鈽梬,fEGzfEJrUD,5,3,5,4,4,10,10,3,4,4
132,資工系,111C53424,勧鯲脰,PRO2hAY8Zu,1,6,8,3,1,9,6,4,9,10
133,電資資安,111C52900,淘驚鯇,h3OJZ7kGMi,9,3,2,4,1,2,5,3,7,10
134,資工系,111C52208,玐媙艙,1NUrx5ddaZ,3,4,6,1,5,4,9,2,3,2
135,資工系,112598545,鈸瀷鞨,Ujlji9YhRt,3,7,1,10,10,6,1,10,10,3
136,創新AI,111C53160,絝肥兇,lkvOXV9SLh,5,4,1,3,3,3,1,10,7,10
137,資工系,112C52998,紬劧郰,u2cDoErKD1,3,9,2,8,5,4,3,10,4,1
138,電資AI,112590095,亓核瑽,ZYmx7ra0Ku,5,2,4,1,7,5,7,6,3,10
139,電資AI,111598108,暠鼊皜,5Rtg07ZiyT,1,2,1,5,3,6,7,2,1,9
140,電資AI,111C71937,顈袆匉,wQEIG18MF6,5,3,1,2,10,1,10,3,10,1
141,資工所,112590865,謾宲鱵,OvYBmYNNUa,6,2,6,1,7,9,6,1,3,5
142,電資資安,112598658,饿腦俠,L2XwPAHavC,2,3,4,1,1,4,6,6,6,7
143,創新AI,111C53981,弮瘿描,Qhzev0ga3g,2,8,6,9,6,7,2,4,8,4
144,電資資安,112C53412,拯酵踊,gtmgN5LWIM,5,1,5,8,4,10,5,6,7,10
145,創新AI,112C53450,啄甆湰,EJRbXtLG1v,1,5,10,9,3,5,9,1,5,7
146,電資資安,111598546,蛎玕觵,8UMgFp9c7o,4,5,4,6,4,4,1,1,6,5
147,電資資安,111C53234,鐝歬济,DGfm3ir0gx,10,5,8,10,10,3,8,9,9,9
148,電資AI,112590018,嚵剢猬,gOAHtpwO3m,7,3,8,4,7,2,6,7,7,10
149,創新AI,112590080,蝢婒帊,xnMXCx9RRF,1,3,10,8,3,1,9,9,3,9
150,創新AI,112C71520,刁嘵霱,5T77UvPpWV,9,5,10,9,9,2,1,9,8,8
151,創新AI,111C71439,媍挥湵,7ZI4cT6jEg,8,7,10,7,4,2,7,10,1,4
152,電資AI,111C52977,垢眇護,3qcZYj3A4N,1,8,7,4,6,8,3,2,2,6
153,資工系,112C53453,軫盁虎,x3QC5kB4r9,7,3,4,10,10,7,7,8,1,4
154,電資AI,112C71540,璌梬瘰,vqg7kStJ7M,10,2,9,1,3,8,2,9,1,9
155,創新AI,112C71736,儙焦回,yIFv7HKO8y,4,10,3,5,2,6,8,1,2,3
156,資工系,111590179,軔宎塃,dtYeHsv2Bb,7,5,4,1,3,9,9,2,10,1
157,創新AI,111C71824,猧璉垳,Jxo0L1Ynig,4,2,9,9,10,9,4,4,9,9
158,創新AI,111C71681,纈髭谦,GgcGlAweym,2,5,1,3,10,3,9,7,10,5
159,電資AI,112C52016,帯氭髰,yhAASvxFER,6,2,6,7,6,10,7,2,8,3
160,資工所,112C52455,墬鈧劆,lTXLug6ixi,4,6,1,2,9,3,9,8,6,3
161,資工系,111598772,僺缏殛,uGCXPLFonV,2,9,4,1,1,4,10,4,9,1
162,資工系,112C52472,顟匃晛,JsSicaEnpT,5,4,6,5,8,9,6,3,5,7
163,創新AI,111C71917,瘙洅么,u558CBkdt5,3,4,5,6,1,10,5,7,6,3
164,電資資安,111C71046,锳歔撑,IZHmsyz7Ed,7,2,8,4,9,10,2,3,5,7
165,電資資安,111590758,怓鍾鐦,OhAGUQSweR,7,2,7,1,3,6,6,5,8,1
166,資工所,111C71994,歿瞯爿,VZzZeWuH0Y,1,7,8,3,6,8,5,1,1,4
167,資工系,111590279,箺疶侙,HV84ajdhEZ,2,6,2,8,8,7,5,7,7,2
168,創新AI,112598708,臉塮蘝,iCrSD0aGYl,5,1,7,4,4,7,2,5,2,3
169,資工所,111C53940,瞭回穂,FZH16QZ4wQ,3,9,8,4,2,3,9,3,4,8
170,電資AI,112598821,緡陨璚,9lj4KWZX2n,10,9,6,1,8,5,10,6,7,2
171,創新AI,112C71316,埪符蕏,7T6rO47T5I,2,4,7,1,6,2,9,8,7,4
172,資工系,112C71452,弍孊叶,Ks1ltC5L51,4,5,10,4,7,5,10,2,6,7
173,電資AI,112C71503,卻單劅,Yxvo89rphJ,6,2,10,6,5,10,3,6,5,6
174,電資AI,112C53808,羟遳鯴,T9fGenvqg8,4,4,2,7,6,3,10,4,1,1
175,創新AI,112C71680,隕娫勿,iqAEzj8vFB,1,2,9,1,10,1,5,5,6,5
176,電資資安,112C53835,矍闦妗,dAiJBnF0uM,2,4,5,7,3,9,6,1,6,1
177,電資AI,112590820,艟糚益,cvlWJZe4cv,7,7,6,3,3,10,2,7,5,10
178,電資AI,111590546,挑轴錻,kLjon23tf0,2,8,10,8,3,7,4,9,3,2
179,資工系,111C53436,衈揆翡,wt19KmkymX,1,1,1,1,6,3,3,7,10,7
180,創新AI,111C53190,巚鸑揌,zYdiFFuFW9,3,8,1,7,6,5,8,5,7,3
181,電資資安,112598840,昲鴨褀,7bMIhptaLA,9,10,10,10,6,1,8,2,7,9
182,資工所,112C71053,她勈殨,1F67IkKsIX,6,3,10,10,5,6,8,3,4,10
183,電資資安,111598131,鐔顐意,oh2Ze0y9PZ,4,1,6,5,1,3,8,6,3,1
184,電資AI,111590108,矑橇遊,nF7oxyppJ8,4,1,7,7,5,10,2,1,10,4
185,資工系,111C53385,氃兤笻,OXa8ZtyGAu,3,7,3,4,6,1,6,3,8,4
186,電資AI,111C71633,蒌吰檤,Zv7AweVpRd,10,4,1,6,3,10,6,10,4,2
187,電資AI,112590106,嫲茰诖,nV0hshD7dY,8,4,2,7,4,4,8,9,1,2
188,電資AI,112C52621,貼圧萕,n3k4NJOstS,4,5,10,9,7,1,2,1,6,8
189,資工所,111590452,科紈猱,FtICzYgYS9,2,10,4,7,3,9,7,3,4,10
190,創新AI,112590032,駙翞嬐,9vHVDNJTxC,3,2,1,1,9,9,7,5,4,2
191,電資資安,111590473,埅华呉,lJoJYgHufg,8,2,9,7,7,9,6,10,8,7
192,資工所,112590975,瓐铕菲,nXQlHpPrGQ,8,8,5,5,3,5,2,3,3,2
193,資工系,112C52435,绑卾肨,SmKQVWQTMm,10,7,5,6,5,3,6,3,10,2
194,電資AI,112C71649,珥楘勛,1JqnydMlU2,5,7,2,9,7,10,5,1,8,2
195,資工所,112C71760,僐螣荑,YXxIHpgzhk,4,2,3,8,5,2,5,3,6,8
196,電資資安,112C53397,蜫蕘唨,HuGw5t5Wmw,7,1,2,5,8,1,3,8,8,4
197,創新AI,111C52058,缵湳圾,QjTmmXNRdr,8,6,7,10,6,6,1,1,2,7
198,電資AI,111C53424,詷噐驥,Dj0HjB5QYL,2,3,10,9,4,3,9,9,6,7
199,資工系,112C52517,贽侊禗,dxw8IHukKU,7,1,8,4,9,10,6,3,3,6
200,電資資安,111C52837,燩葫湵,XutboTf2K7,6,10,3,6,7,3,6,1,2,5
